Team,Conference,3P%,3P%.Rank,2P%,2P%.Rank,FT%,FT%.Rank,Blk%,Blk%.Rank,Stl%,Stl%.Rank,NST%,NST%.Rank,A%,A%.Rank,3PA%,3PA%.Rank,AdjOE,AdjOE.Rank
Cornell,Ivy,34.1,150,55.6,17,70.3,223,9.5,239,9.3,180,10.3,294,58.3,33,46.6,16,103.4,170
UNC Asheville,BSth,34.1,151,50.0,161,73.2,121,9.2,210,9.5,211,8.7,138,48.0,254,38.1,165,102.3,191
N.C. State,ACC,34.1,152,46.0,316,72.5,154,11.1,318,8.1,57,6.4,9,43.8,318,39.3,134,109.5,60
Pepperdine,WCC,34.1,153,45.6,320,71.3,184,6.9,33,10.3,282,10.1,275,57.8,37,34.8,246,97.7,274
Norfolk St.,MEAC,34.0,154,50.8,128,69.7,243,9.9,256,8.5,82,11.7,349,47.4,264,35.9,222,102.2,194
FIU,CUSA,34.0,155,49.0,207,70.8,201,9.9,257,10.3,279,9.8,258,52.8,130,46.2,17,97.4,277
Stony Brook,AE,34.0,156,49.9,171,75.2,64,8.1,104,8.6,94,7.0,23,41.6,340,40.1,119,104.1,157
Niagara,MAAC,34.0,157,48.2,236,73.4,116,8.2,109,7.7,32,9.0,171,48.3,242,36.1,214,100.3,229
Bradley,MVC,34.0,158,51.1,120,68.5,285,6.4,11,10.7,314,9.2,187,52.2,148,39.5,128,104.9,138
Lipscomb,ASun,34.0,159,53.2,52,72.2,157,13.2,352,10.2,272,8.8,154,58.9,24,41.4,94,102.3,192
Quinnipiac,MAAC,34.0,160,49.2,200,76.4,31,11.8,337,10.1,261,8.6,132,56.1,54,43.5,47,102.9,177
Boise St.,MWC,34.0,161,50.6,135,65.1,346,8.8,169,8.0,47,10.5,305,46.6,278,38.6,153,107.7,85
Louisiana Tech,CUSA,34.0,162,52.5,67,72.8,142,9.2,206,9.2,160,7.6,51,49.9,195,41.1,105,105.7,121
