PLAYERID,PLAYER,PARTNERID,POS,TEAM,OPP,TEAMNAME,STATUS,SPREAD,O/U,TOTAL,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,UD,PP,FPTS,RANGE,FLOOR,CEIL,POWN,SCHEDULE_ID,CORE_ID,CORETEAMID,REFID,OWNERSHIP
1589786,"Trevin Jirak",1589786,C,IOWA,UF,Iowa,ACTIVE,-10.5,145.5,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090690,652059,5407,357,35
1523621,"Joson Sanon",1523621,G,STJN,KU,"St. John's (NY)",ACTIVE,-3.5,144.5,74,20,7.21,2.34,0.65,1.74,0.82,0.43,0.13,7.86,9.55,10.2,0.56,2.99,11.86,11.86,12.69,22M,4.91,20.47,0,12090720,455403,5442,358,35
1406802,"Drake Allen",1406802,G,UTST,ARIZ,"Utah State",ACTIVE,-11.5,154.5,71.5,33.5,10.1,4.07,4.85,1.21,2.6,2.2,0.85,14.95,14.17,19.02,3.05,8.92,28.82,28.82,27.9,34M,16.43,39.37,0,12089240,246710,5345,359,35
1340791,"Bryce Hopkins",1340791,F,STJN,KU,"St. John's (NY)",ACTIVE,-3.5,144.5,74,34,13.76,7.98,1.47,0.94,1.36,1.18,0.23,15.23,21.74,23.21,1.41,9.45,28.42,28.42,28.86,36M,17.79,39.93,0,12090720,179668,5442,360,35
1405416,"Otega Oweh",1405416,G,UK,ISU,Kentucky,ACTIVE,-4.5,145.5,70.5,39,19.22,4.86,2.81,1.13,2.85,1.87,0.19,22.03,24.08,26.89,2.06,7.67,32.58,32.58,32.8,40M,20.69,44.91,0,12089190,245045,5438,361,35
1612458,"Owen Odom",1612458,G,UVA,TENN,Virginia,ACTIVE,1.5,137.5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089250,657247,5580,362,35
1461351,"Elijah Gertrude",1461351,G,UVA,TENN,Virginia,ACTIVE,1.5,137.5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089250,281783,5580,363,35
1595012,"Shelton Henderson",1595012,F,MIA,PUR,"Miami (FL)",ACTIVE,-7.5,147.5,70,33,11.48,4.54,2.06,0.23,1.57,0.92,0.48,13.54,16.02,18.08,1.4,6.6,22.62,22.62,22.37,34M,13.45,31.29,0,12090710,654977,5517,364,35
1522940,"Josiah Moseley",1522940,F,TTU,BAMA,"Texas Tech",ACTIVE,-1.5,164.5,83,21,8.88,6.53,0.83,0.35,0.86,0.57,1.3,9.71,15.41,16.24,1.87,7.36,22.7,22.7,21.85,22M,9.07,34.63,0,12089180,457540,5342,365,35
1520762,"Jack Benter",1520762,G,PUR,MIA,Purdue,ACTIVE,7.5,147.5,77.5,15,3.82,2.05,0.76,0.88,0.65,0.54,0.02,4.58,5.87,6.63,0.56,2.81,8.45,8.45,8.76,16M,1.9,15.62,0,12090710,457425,5517,366,35
1522951,"Cooper Koch",1522951,F,IOWA,UF,Iowa,ACTIVE,-10.5,145.5,67.5,34,8.73,2.81,1.32,2.37,0.64,0.46,0.13,10.05,11.54,12.86,0.59,4.13,15.21,15.21,16.26,36M,10.03,22.49,0,12090690,455383,5407,367,35
1532774,"Joey Matteoni",1532774,F,IOWA,UF,Iowa,ACTIVE,-10.5,145.5,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090690,505507,5407,368,35
1610446,"Fotis Konstantinidis",1610446,G,STJN,KU,"St. John's (NY)",ACTIVE,-3.5,144.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090720,652662,5442,369,35
1460340,"Jaland Lowe",1460340,G,UK,ISU,Kentucky,"O(Arm - 01/14/2026)",-4.5,145.5,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089190,281794,5438,370,35
1593330,"Amari Evans",1593330,G,TENN,UVA,Tennessee,ACTIVE,-1.5,137.5,69.5,18,4.62,3.49,0.69,0.42,0.56,0.92,0.35,5.31,8.11,8.8,1.27,4.18,13.09,13.09,12.49,20M,4.27,20.71,0,12089250,652019,5580,371,35
1612459,"Thijs De Ridder",1612459,F,UVA,TENN,Virginia,ACTIVE,1.5,137.5,68,28,12.17,5.58,1.41,0.89,1.62,0.89,0.42,13.58,17.75,19.16,1.31,6.99,23.29,23.29,23.57,30M,13.18,33.96,0,12089250,657226,5580,372,35
1340198,"Addison Arnold",1340198,G,ARIZ,UTST,Arizona,ACTIVE,11.5,154.5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089240,179296,5345,373,35
1520730,"Bishop Boswell",1520730,G,TENN,UVA,Tennessee,ACTIVE,-1.5,137.5,69.5,27,5.42,3.53,2.78,0.79,1.65,0.99,0.14,8.2,8.95,11.73,1.13,6.31,15.56,15.56,15.83,28M,8.03,23.63,0,12089250,457997,5580,374,35
1542664,"Marcus Allen",1542664,G,MIA,PUR,"Miami (FL)","O(Illness - 12/19/2025)",-7.5,147.5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090710,216948,5517,375,35
1599534,"Nginyu Ngala",1599534,G,KU,STJN,Kansas,ACTIVE,3.5,144.5,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090720,652336,5442,376,35
1522952,"Jacob Koch",1522952,G,IOWA,UF,Iowa,ACTIVE,-10.5,145.5,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090690,455384,5407,377,35
1599435,"Kelvin Odih",1599435,G,STJN,KU,"St. John's (NY)",ACTIVE,-3.5,144.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090720,652686,5442,378,35
1232079,"Latrell Wrightsell",1232079,G,BAMA,TTU,Alabama,ACTIVE,1.5,164.5,81.5,30,13.11,3.54,1.91,2.53,1.01,1.08,0.01,15.02,16.65,18.56,1.09,5.45,22.47,22.47,23.33,32M,13.07,33.59,0,12089180,149660,5342,379,35
1459515,"Alex Condon",1459515,F,UF,IOWA,Florida,ACTIVE,10.5,145.5,78,29.25,13.27,5.97,2.65,0.24,2.61,0.45,1.23,15.92,19.24,21.89,1.68,8.62,26.82,26.82,26.96,30M,15.08,38.84,0,12090690,289021,5407,380,35
1480394,"Mouhamed Dioubate",1480394,F,UK,ISU,Kentucky,ACTIVE,-4.5,145.5,70.5,22,8.38,5.84,1.07,0.31,1.01,0.85,0.97,9.45,14.22,15.29,1.82,6.91,21.47,21.47,20.64,24M,10.04,31.24,0,12089190,289029,5438,381,35
1592594,"Jacob Furphy",1592594,G,UCONN,UCLA,Connecticut,ACTIVE,4.5,136.5,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090740,652315,5381,382,35
1493275,"Luke Kearney",1493275,F,UTST,ARIZ,"Utah State",ACTIVE,-11.5,154.5,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089240,291795,5345,383,35
1473101,"Cooper Josefsberg",1473101,G,UF,IOWA,Florida,ACTIVE,10.5,145.5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090690,289063,5407,384,35
1460286,"Brandon Garrison",1460286,C,UK,ISU,Kentucky,ACTIVE,-4.5,145.5,70.5,20,5.96,5.23,1.17,0.2,1.46,0.82,1.31,7.13,11.19,12.36,2.13,6.4,18.91,18.91,17.89,22M,17.89,17.89,0,12089190,282634,5438,385,35
1596697,"Markell Alston",1596697,G,UCLA,UCONN,UCLA,ACTIVE,-4.5,136.5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090740,652300,5381,386,35
1595014,"John Laboy",1595014,G,MIA,PUR,"Miami (FL)",ACTIVE,-7.5,147.5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090710,654992,5517,387,35
1520753,"Aaron Fine",1520753,G,PUR,MIA,Purdue,ACTIVE,7.5,147.5,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090710,457465,5517,388,35
1343026,"Houston Mallette",1343026,G,BAMA,TTU,Alabama,ACTIVE,1.5,164.5,81.5,22,4.4,4.24,1.02,1.28,0.45,0.57,0.01,5.42,8.64,9.66,0.58,5.26,12.31,12.31,12.81,24M,5.6,20.02,0,12089180,179914,5342,389,35
1402800,"Sadiku Ibine Ayo",1402800,F,STJN,KU,"St. John's (NY)",ACTIVE,-3.5,144.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090720,246652,5442,390,35
1334226,"Malachi Smith",1334226,G,UCONN,UCLA,Connecticut,ACTIVE,4.5,136.5,70.5,12,2.41,1.07,1.71,0.42,0.74,0.53,0.11,4.12,3.48,5.19,0.64,2.78,7.43,7.43,7.43,14M,0.95,13.91,0,12090740,179462,5381,391,35
1521578,"Isaiah Brown",1521578,G,UF,IOWA,Florida,ACTIVE,10.5,145.5,78,16.25,6.27,2.49,0.64,0.73,0.56,0.34,0.23,6.91,8.76,9.4,0.57,3.13,11.37,11.37,11.57,18M,3.24,19.9,0,12090690,457427,5407,392,35
1459516,"Thomas Haugh",1459516,F,UF,IOWA,Florida,ACTIVE,10.5,145.5,78,35.25,15.51,5.59,1.67,1.77,1.61,0.9,0.91,17.18,21.1,22.77,1.81,7.26,28.55,28.55,28.78,36M,17.75,39.81,0,12090690,289052,5407,393,35
1522326,"Jalil Bethea",1522326,G,BAMA,TTU,Alabama,ACTIVE,1.5,164.5,81.5,4,1.67,0.68,0.27,0.25,0.21,0.09,0.03,1.94,2.35,2.62,0.12,0.95,3.04,3.04,3.19,5M,0,8.94,0,12089180,457990,5342,394,35
1459769,"Jaylen Carey",1459769,F,TENN,UVA,Tennessee,ACTIVE,-1.5,137.5,69.5,14,4.06,4.17,0.76,0.02,0.57,0.15,0.09,4.82,8.23,8.99,0.24,4.93,10.34,10.34,10.62,16M,2.78,18.46,0,12089250,289688,5580,395,35
1481231,"Justin Cross",1481231,G,KU,STJN,Kansas,ACTIVE,3.5,144.5,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090720,281777,5442,396,35
1460540,"Alex Kovatchev",1460540,G,UF,IOWA,Florida,ACTIVE,10.5,145.5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090690,288837,5407,397,35
1592595,"Braylon Mullins",1592595,G,UCONN,UCLA,Connecticut,ACTIVE,4.5,136.5,70.5,34,12.92,3.57,1.72,2.27,1.43,1.12,0.69,14.64,16.49,18.21,1.81,5.29,23.79,23.79,24.01,36M,14.56,33.46,0,12090740,652335,5381,398,35
1593332,"Clarence Massamba",1593332,G,TENN,UVA,Tennessee,ACTIVE,-1.5,137.5,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089250,652089,5580,399,35
1461343,"Carter Lang",1461343,F,UVA,TENN,Virginia,ACTIVE,1.5,137.5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089250,289261,5580,400,35
1460375,"Jace Rayl",1460375,G,PUR,MIA,Purdue,ACTIVE,7.5,147.5,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090710,289090,5517,401,35
1232543,"Liam Murphy",1232543,F,PUR,MIA,Purdue,ACTIVE,7.5,147.5,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090710,149489,5517,402,35
